"hash","Team","Semester"
"59ec0b057eedda06d9d6b624f8e44c93","1","WT-15"
"1d7d77b5a1211746723dce012152b763","1","WT-15"
"82c778ace992789d990201847ec0e493","1","WT-15"
"b6b46b3be7a6db0261ed697030962129","1","WT-15"
"a09625f8f1ddd73adeb6db620222c2c6","1","WT-15"
"0f474dde96e287acf44770c9d3a08726","2","WT-15"
"f70c527905fb1b34ed34cc4fb6372be9","2","WT-15"
"72b0c43beddbb51390c48f795ef848b0","2","WT-15"
"46d33bbe16345e7c26f543c4d114a051","2","WT-15"
"d0c03244272fc074a85681a697760aa8","2","WT-15"
"c5bfd387855bd8af01b188606b62fcf0","3","WT-15"
"903ef2eeaea945e8a50d5a60f8b49780","3","WT-15"
"642bddd5d6f11393f0a2c224e0cb6ad6","3","WT-15"
"003c264f8053a40c14672f3a1717f7f4","3","WT-15"
"c6777db4a19c2c701c0625ceba2b36e5","3","WT-15"
"96c1b85a562cb55f0c627b37a26c001b","4","WT-15"
"41d2e16d2865f4bcc4a40790f1a1cbbc","4","WT-15"
"356705bca557c0e258736263ed283764","4","WT-15"
"5c747e7d3baf7f156b0045a69493bfe3","4","WT-15"
"fe801829c6d4d92514276bd6b814b2f6","4","WT-15"
"0b26a4e4a7dc955cb2244d7fa00aa0a3","5","WT-15"
"e28d3910d78bf300d9e31872f1e2c59a","5","WT-15"
"1fe0e6909e442c0c800e75281faba91c","5","WT-15"
"9b060f44ab7fca2c4699ef5eb4ce79ad","5","WT-15"
"a24f75d8e3ce7f972f8ad51e01c39971","5","WT-15"
"618dcb360811ba1cc9e85b34c4fcbd5f","6","WT-15"
"0adf9670bc492e52319082fee7af0965","6","WT-15"
"942ce901a594ea023442ba7a182a21a3","6","WT-15"
"90e8f97fccbe0dc876bcbd228355ac21","6","WT-15"
"edd7a109f49c613ca1ddb1480cdb84e7","6","WT-15"
"66a31ecad325333f7c496ed9ad9e3b46","7","WT-15"
"3798b0219ef71064af5059a6b283870b","7","WT-15"
"023bb8bf31453b3de4e11a8231cc02dc","7","WT-15"
"04074a0671bb5b51850d6678b51b4497","7","WT-15"
"24b52ccbd31e181926a570d450ee4eec","7","WT-15"
"0e6b9f9e0fa26b80034db7a04675f453","8","WT-15"
"0e9e100fb57b5f6446349a1b33b495b5","8","WT-15"
"40a526979ae2704d2abd2d4a57df330b","8","WT-15"
"44f3e1ed02d4bf0ad9ffaaeec79529ef","8","WT-15"
"19125a91e1bb82782bb768a27317ac8f","8","WT-15"
